PC1	PC2	PC3	PC4	ETHNICITY
-0.00403239	0.0046764	0.00104138	-0.00405674	1
-0.016508	-0.00319254	0.000303114	0.0104258	1
-0.0287879	0.000223161	-0.000765514	0.0140299	1
-0.0252757	0.00452544	-0.00878787	0.0146505	1
-0.0255729	-0.00105833	-0.000619488	0.00040131	1
-0.00524415	0.00280932	0.0118918	-0.00158953	1
-0.00543813	0.00880253	-0.000648144	-0.0144754	1
-0.0205022	-0.00423645	0.00500943	-0.00517718	1
0.00871911	0.000108558	-0.00245273	-0.00527109	1
-0.0154152	-0.00314585	-0.00297291	0.0178593	1
-0.0105142	0.00979128	0.00495454	0.0155211	1
-0.0195161	-0.000256017	-0.00189051	-0.013876	1
-0.0211297	0.00432797	-0.000960885	-0.00875793	1
-0.0305074	0.00105478	0.00834225	-0.00379258	1
-0.0306972	0.000834069	0.00876538	-0.0144363	1
-0.00473848	0.00718926	0.000712277	0.0119227	1
-0.0322675	0.00975292	0.00391688	-0.00748541	1
-0.0267942	0.00683782	0.00237551	0.00372793	1
-0.0265089	0.00125468	0.0017215	0.0246017	1
-0.0345297	0.00630376	0.00857131	0.00226267	1
-0.0285938	0.00359379	0.00684629	0.00210608	1
-0.03369	0.00486593	0.0041976	-0.00735058	1
-0.0306704	-9.16E-05	-0.00552652	0.0082289	1
-0.0150111	-0.00877674	0.000856783	-0.00275146	1
-0.0139102	0.000380493	-0.00755559	0.00153774	1
0.00726099	-0.00538976	0.00294178	-0.00443601	1
-0.0246696	0.00485549	-0.00532183	-0.0069665	1
-0.0147454	-0.00541751	-0.00702265	-0.0104119	1
-0.00771791	0.00268502	0.00764126	-0.00420856	1
-0.0235449	0.00618465	-0.00700542	-0.00335378	1
-0.0171763	-0.00404532	0.00501553	0.00876311	1
0.0138052	0.00232615	-0.00626321	0.0127453	1
-0.0103089	-0.0080542	-0.0069185	0.000899417	1
-0.0176083	-0.00322789	-0.00285761	-0.00452845	1
-0.0277125	0.000891615	0.00640657	0.000480269	1
-0.0186854	0.0117505	0.004769	0.00872489	1
-0.0216963	0.00391085	-0.00320299	-0.017358	1
-0.0180298	0.00237445	0.00281318	-0.0106944	1
-0.00237961	-0.0184159	0.00277005	0.00756052	1
-0.0267468	0.00801763	-0.00118377	0.0094112	1
-0.0222675	0.00372838	0.00135975	-0.00297619	1
-0.00571185	0.00325454	-0.00377649	0.0125551	1
-0.00717028	-0.0123866	-0.0159579	-0.00590923	1
-0.0325093	0.0076694	-0.000277904	-0.0100414	1
-0.0336288	0.0055156	0.00319373	-0.0131799	1
-0.00885623	-0.00435479	-0.00835516	-0.00460794	1
-0.0264563	0.00632724	-0.00375577	0.0140718	1
-0.0127614	-0.00350938	0.00515613	-0.00624245	1
-0.0301398	0.0123093	0.00453373	-0.0210981	1
-0.0239589	0.0066142	-0.00439351	-0.0019465	1
-0.0274448	0.00121615	0.00344714	0.00119512	1
-0.0235562	0.00414626	0.00386125	0.00097455	1
-0.000546898	0.0074622	0.00159196	-0.00505974	1
-0.0160211	0.00521399	0.0037042	-0.0121655	1
-0.041477	0.0137731	0.00932774	-0.0173448	1
-0.0143017	-0.00315879	-0.00153428	0.00892393	1
-0.024282	0.00222799	-0.00354518	0.0135354	1
-0.021674	0.000991423	0.00144527	0.0107757	1
-0.00979426	-0.00830249	-0.00197977	0.00925686	1
-0.00437966	-0.000580408	-0.000743609	0.011124	1
-0.0193464	0.017	0.00255104	-0.005929	1
-0.0219765	0.000888648	-0.00490149	-0.00745237	1
0.00300638	0.0149946	0.00908023	0.00229339	1
-0.0261422	0.00721453	-0.00133558	-0.00526766	1
-0.0363369	0.00249108	0.00150928	0.0138932	1
-0.0107942	0.0120287	0.00403619	-0.00992797	1
-0.0250911	0.00548142	0.0121565	0.0038415	1
-0.0144989	-0.00304522	-0.00268113	0.00258454	1
-0.0265315	0.00219257	-0.00406917	0.0224586	1
-0.027224	0.0077597	0.00491379	0.0135169	1
-0.00324527	0.00273929	0.00723645	-0.00851208	1
-0.018769	-0.00129968	0.00376136	-0.0131014	1
-0.0269443	0.0055287	-0.00139062	0.0195777	1
-0.0325481	0.00834348	0.00680282	0.0113035	1
